ds,yhat
2024-06-01,1358.857104646078
2024-07-01,1359.5226933726028
2024-08-01,1362.7585468977284
2024-09-01,1364.825632472104
2024-10-01,1358.0280758777233
2024-11-01,1359.8260972376695
2024-12-01,1360.945960933151
2025-01-01,1364.4396958474604
2025-02-01,1369.508839330367
2025-03-01,1360.704030261293
2025-04-01,1362.443336037217
2025-05-01,1360.0655242811729
